City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tralee,52.2704,-9.7026,10.14,93,20,3.09,IE,1735330328
1,kumasi,6.6885,-1.6244,27.09,22,24,1.46,GH,1735330329
2,nova sintra,14.8667,-24.7167,24.25,80,43,7.99,CV,1735330331
3,gisborne,-38.6533,178.0042,14.8,86,100,9.47,NZ,1735330332
4,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,54,75,7.0,RU,1735330333
5,olonkinbyen,70.9221,-8.7187,-1.92,100,100,4.8,SJ,1735330334
6,edinburgh of the seven seas,-37.0676,-12.3116,13.78,69,94,14.04,SH,1735330335
7,adamstown,-25.066,-130.1015,23.99,77,100,2.93,PN,1735330337
8,puerto natales,-51.7236,-72.4875,17.25,39,75,10.29,CL,1735330338
9,longyearbyen,78.2186,15.6401,-5.09,93,100,1.54,SJ,1735330339
10,georgetown,5.4112,100.3354,27.96,82,20,1.34,MY,1735330341
11,west island,-12.1568,96.8225,26.99,94,75,8.23,CC,1735330343
12,howrah,22.5892,88.3103,19.0,72,0,0.0,IN,1735330344
13,smara,26.7384,-11.6719,17.87,24,8,1.35,EH,1735330345
14,hawaiian paradise park,19.5933,-154.9731,25.73,74,0,2.06,US,1735330346
15,berdigestyakh,62.0989,126.6992,-37.77,100,100,0.89,RU,1735330348
16,nemuro,43.3236,145.575,-4.05,66,21,10.09,JP,1735330349
17,naracoorte,-36.9579,140.7383,11.38,86,6,3.33,AU,1735330350
18,usinsk,65.9939,57.5281,-2.48,94,100,7.26,RU,1735330351
19,yellowknife,62.456,-114.3525,-8.66,99,75,3.6,CA,1735330353
20,dubovka,49.0583,44.829,-1.8,84,21,5.0,RU,1735330355
21,puerto armuelles,8.2833,-82.8667,25.05,90,100,3.58,PA,1735330356
22,port alfred,-33.5906,26.891,22.88,93,100,1.79,ZA,1735330173
23,kamennomostskiy,44.2983,40.1856,2.23,92,85,1.28,RU,1735330358
24,vorgashor,67.5833,63.95,-6.16,96,100,5.28,RU,1735330359
25,ushuaia,-54.8,-68.3,10.86,71,90,3.84,AR,1735330105
26,tuzha,57.6062,47.936,-6.51,97,15,3.1,RU,1735330362
27,grand falls-windsor,48.9332,-55.6649,-1.39,84,16,0.45,CA,1735330363
28,oranjemund,-28.55,16.4333,17.79,92,0,2.78,NA,1735330364
29,bamboo flat,11.7,92.7167,26.65,76,81,3.14,IN,1735330365
30,ribeira grande,38.5167,-28.7,18.22,88,40,6.71,PT,1735330367
31,tiksi,71.6872,128.8694,-28.98,100,93,1.38,RU,1735330368
32,padang,-0.9492,100.3543,24.03,88,100,1.83,ID,1735330369
33,broken hill,-31.95,141.4333,15.22,46,56,4.1,AU,1735330370
34,chonchi,-42.6128,-73.8092,20.07,35,100,0.93,CL,1735330371
35,stanley,54.868,-1.6985,6.01,93,75,2.57,GB,1735330372
36,iqaluit,63.7506,-68.5145,-14.15,78,100,5.66,CA,1735330373
37,villa gesell,-37.2639,-56.973,18.42,72,0,7.52,AR,1735330375
38,port-aux-francais,-49.35,70.2167,4.62,73,7,16.9,TF,1735330376
39,warangal,18.0,79.5833,20.46,85,4,3.73,IN,1735330377
40,pisco,-13.7,-76.2167,28.03,47,0,8.23,PE,1735330378
41,grytviken,-54.2811,-36.5092,12.62,39,5,6.94,GS,1735330379
42,island harbour,50.724,-1.2758,7.77,71,33,0.45,GB,1735330380
43,vilyuysk,63.7553,121.6247,-41.66,100,78,0.99,RU,1735330382
44,lerma,42.0261,-3.7598,5.16,69,0,3.12,ES,1735330383
45,badger,64.8,-147.5333,-16.07,83,75,0.0,US,1735330384
46,vazante,-17.9869,-46.9078,20.58,94,100,0.81,BR,1735330385
47,bilibino,68.0546,166.4372,-43.63,100,94,1.35,RU,1735330386
48,saipan,15.1355,145.701,28.39,84,40,5.36,MP,1735330136
49,waitangi,-43.9535,-176.5597,15.46,99,100,3.13,NZ,1735330388
50,isafjordur,66.0755,-23.124,-6.82,83,30,4.66,IS,1735330390
51,mossel bay,-34.1831,22.146,21.17,84,86,2.19,ZA,1735330157
52,laojunmiao,39.8333,97.7333,-10.45,26,0,3.52,CN,1735330392
53,jamestown,42.097,-79.2353,6.8,61,100,4.12,US,1735330339
54,muang phonsavan,19.45,103.2167,13.44,90,100,2.06,LA,1735330154
55,puerto ayora,-0.7393,-90.3518,24.75,90,53,4.47,EC,1735330299
56,tura,25.5198,90.2201,15.15,62,0,1.91,IN,1735330397
57,hassi messaoud,31.6804,6.0729,6.92,53,0,1.03,DZ,1735330398
58,acapulco de juarez,16.8634,-99.8901,28.9,61,20,3.6,MX,1735330151
59,margaret river,-33.95,115.0667,13.24,88,23,2.59,AU,1735330400
60,kone,-21.0595,164.8658,24.41,68,98,0.79,NC,1735330401
61,san patricio,28.017,-97.5169,25.97,54,34,2.13,US,1735330402
62,suva,-18.1416,178.4415,25.71,89,75,1.54,FJ,1735330404
63,mohammedia,33.7066,-7.3944,16.96,100,100,1.03,MA,1735330405
